H,K,L,E
0,0,-1,0.605531295
0.196861626,0.196861626,-1,1.781659389
0.59914408,0.59914408,-1,3.586608443
0.701854494,0.701854494,-1,2.72489083
0.800285307,0.800285307,-1,1.851528384
0.90299572,0.90299572,-1,1.001455604
1.001426534,1.001426534,-1,0.617176128
1.104136947,1.104136947,-1,0.954876274
1.206847361,1.206847361,-1,1.839883552
1.300998573,1.300998573,-1,2.969432314
1.399429387,1.399429387,-1,4.098981077
1.4978602,1.4978602,-1,4.483260553
1.604850214,1.604850214,-1,3.749636099
1.703281027,1.703281027,-1,3.004366812
1.805991441,1.805991441,-1,1.863173217
1.904422254,1.904422254,-1,1.024745269
2.10128388,2.10128388,-1,0.943231441
2.199714693,2.199714693,-1,1.758369723
2.302425107,2.302425107,-1,2.969432314
2.40085592,2.40085592,-1,4.052401747
2.503566334,2.503566334,-1,4.506550218
2.597717546,2.597717546,-1,4.250363901
2.70042796,2.70042796,-1,3.225618632
